Ville;Tm;Lat;source
BEAUCEVILLE;16,9;46,205;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LAC SAINT-PIERRE;19,8;46,183;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ST-JOVITE;16,5;46,08;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
THETFORD MINES RCS;15,8;46,049;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SAINT-GERMAIN-DE-GRANTHAM;17,8;45,825;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
L'ASSOMPTION;18,9;45,809;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MONTREAL MIRABEL INTL A;18,2;45,681;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NANTES;15,9;45,606;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
OTTAWA GATINEAU A;18,2;45,522;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MONTREAL/ST-HUBERT;19,2;45,518;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MCTAVISH;20,2;45,505;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MONTREAL INTL A;20;45,471;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MONTREAL/PIERRE ELLIOTT TRUDEAU INTL;19,9;45,468;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SHERBROOKE;17,2;45,439;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
STE-ANNE-DE-BELLEVUE 1;19,1;45,427;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
GRANBY;18,5;45,373;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LENNOXVILLE;17,8;45,369;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ST JEAN;18,9;45,294;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
L'ACADIE;18,9;45,294;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LAC MEMPHREMAGOG;15,5;45,267;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
STE-CLOTILDE;18,7;45,167;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ST-ANICET 1;18,8;45,121;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
FRELIGHSBURG;18,4;45,033;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
